StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,D1,D2,D3,D3_4_TEXT,D4,1_Q2,1_Q3,1_Q4,1_Q5,1_Q7,1_Q8,1_Q12,1_Q13,2_Q2,2_Q3,2_Q4,2_Q5,2_Q7,2_Q8,2_Q12,2_Q13,3_Q2,3_Q3,3_Q4,3_Q5,3_Q7,3_Q8,3_Q12,3_Q13,4_Q2,4_Q3,4_Q4,4_Q5,4_Q7,4_Q8,4_Q12,4_Q13,SolutionRevision,ProjectCategory,ProjectType
2022-06-25 11:51:40,2022-06-25 11:53:04,IP Address,150.107.0.128,100,83,True,2022-06-25 11:53:04,R_30lcSdrxCKAbiEw,,,,,22.2578,114.1657,anonymous,EN,18-24 years old,Working full-time,Male,,Never been married,Neither positive nor negative,Different,Not very appealing,Like somewhat,Somewhat irrelevant,This would be slightly better than what I am currently using,,,Somewhat negative,Not very different,Appealing,Neither like nor dislike,Neither relevant nor irrelevant,This is essentially the same as what I am currently using,Neither likely nor unlikely,$15 - $20,Somewhat positive,A little different,A little appealing,Neither like nor dislike,Somewhat relevant,This would be slightly better than what I am currently using,,,Neither positive nor negative,Not very different,A little appealing,Neither like nor dislike,Somewhat irrelevant,What I am currently using is better than this,Neither likely nor unlikely,$10 - $15,2,PX,ConceptTesting
2022-06-25 11:53:33,2022-06-25 11:57:47,IP Address,217.138.206.86,100,254,True,2022-06-25 11:57:48,R_3qC1Ug7BnXhB2Oq,,,,,40.7157,-74,anonymous,EN,25-34 years old,Working full-time,Female,,Married,Somewhat positive,Different,Appealing,Like somewhat,Somewhat relevant,This would be slightly better than what I am currently using,Somewhat likely,$5 - $10,Somewhat positive,Not very different,Appealing,Like somewhat,Extremely relevant,This would be slightly better than what I am currently using,Somewhat likely,$10 - $15,Extremely positive,Very different,Very appealing,Like a great deal,Extremely relevant,I need it because nothing else solves this problem,Extremely likely,$15 - $20,Somewhat positive,Very different,Appealing,Like somewhat,Somewhat relevant,This would be slightly better than what I am currently using,Somewhat likely,$5 - $10,2,PX,ConceptTesting
2022-06-25 11:54:26,2022-06-25 11:59:05,IP Address,134.195.89.118,100,279,True,2022-06-25 11:59:05,R_ywHfmwVZoq88HXb,,,,,41.8874,-87.6318,anonymous,EN,18-24 years old,Working part-time,Female,,Living with a partner,Extremely positive,Different,Appealing,Like a great deal,Extremely relevant,I need it because nothing else solves this problem,Extremely likely,$20 - $30,Extremely positive,Very different,Very appealing,Like a great deal,Extremely relevant,I need it because nothing else solves this problem,Extremely likely,$15 - $20,Extremely positive,Very different,Very appealing,Like a great deal,Extremely relevant,I need it because nothing else solves this problem,Extremely likely,$10 - $15,Extremely positive,Different,Very appealing,Like somewhat,Extremely relevant,I need it because nothing else solves this problem,Extremely likely,$15 - $20,2,PX,ConceptTesting
2022-06-25 11:55:07,2022-06-25 12:00:51,IP Address,104.6.56.108,100,344,True,2022-06-25 12:00:51,R_1E56jFDm7QksNpN,,,,,30.4212,-86.8926,anonymous,EN,18-24 years old,Working part-time,Female,,Widowed,Extremely positive,Very different,Very appealing,Like a great deal,Somewhat relevant,I need it because nothing else solves this problem,Extremely likely,$15 - $20,Extremely positive,Very different,Very appealing,Like a great deal,Extremely relevant,I need it because nothing else solves this problem,Extremely likely,$5 - $10,Somewhat positive,Very different,Very appealing,Like a great deal,Extremely relevant,This would be slightly better than what I am currently using,Extremely likely,$20 - $30,Somewhat positive,Different,A little appealing,Like somewhat,Neither relevant nor irrelevant,This would be slightly better than what I am currently using,Somewhat likely,$15 - $20,2,PX,ConceptTesting
2022-06-25 12:01:12,2022-06-25 12:03:41,IP Address,217.138.206.86,100,149,True,2022-06-25 12:03:41,R_3r1VUTHDBqrgfuw,,,,,40.7157,-74,anonymous,EN,25-34 years old,Working full-time,Female,,Married,Somewhat positive,Different,Appealing,Like somewhat,Somewhat relevant,This would be slightly better than what I am currently using,Somewhat likely,$5 - $10,Extremely positive,Different,Appealing,Like somewhat,Somewhat relevant,This would be slightly better than what I am currently using,Somewhat likely,$10 - $15,Extremely positive,Very different,Very appealing,Like a great deal,Extremely relevant,I need it because nothing else solves this problem,Extremely likely,$15 - $20,Somewhat positive,Different,Appealing,Like somewhat,Somewhat relevant,This would be slightly better than what I am currently using,Somewhat likely,$5 - $10,2,PX,ConceptTesting
2022-06-25 12:00:48,2022-06-25 12:03:48,IP Address,134.195.89.118,100,179,True,2022-06-25 12:03:48,R_2Y4bNhP0MjDSzDb,,,,,41.8874,-87.6318,anonymous,EN,18-24 years old,Working part-time,Female,,Living with a partner,Extremely positive,Very different,Very appealing,Like a great deal,Extremely relevant,I need it because nothing else solves this problem,Extremely likely,$15 - $20,Extremely positive,Very different,Very appealing,Like a great deal,Extremely relevant,I need it because nothing else solves this problem,Extremely likely,$15 - $20,Extremely positive,Very different,Appealing,Like somewhat,Extremely relevant,I need it because nothing else solves this problem,Extremely likely,$20 - $30,Extremely positive,Different,Very appealing,Like a great deal,Somewhat relevant,I need it because nothing else solves this problem,Extremely likely,$15 - $20,2,PX,ConceptTesting
2022-06-25 11:55:09,2022-06-25 12:04:16,IP Address,76.204.113.180,100,547,True,2022-06-25 12:04:17,R_1BYofaSJ64XNe98,,,,,42.6854,-83.9127,anonymous,EN,18-24 years old,Working part-time,Female,,Widowed,Somewhat positive,Different,Appealing,Like a great deal,Extremely relevant,This would be slightly better than what I am currently using,Extremely likely,$10 - $15,Extremely positive,Very different,Appealing,Like a great deal,Extremely relevant,I need it because nothing else solves this problem,Extremely likely,$15 - $20,Extremely positive,Very different,Very appealing,Like a great deal,Extremely relevant,I need it because nothing else solves this problem,Extremely likely,$15 - $20,Somewhat positive,Very different,Appealing,Like a great deal,Extremely relevant,This is essentially the same as what I am currently using,Extremely likely,$15 - $20,2,PX,ConceptTesting
2022-06-25 11:55:10,2022-06-25 12:06:45,IP Address,97.83.3.199,100,694,True,2022-06-25 12:06:45,R_1IlTDTFnuXRY2ha,,,,,44.8165,-85.5808,anonymous,EN,18-24 years old,Working part-time,Female,,Widowed,Extremely positive,Very different,Very appealing,Like a great deal,Extremely relevant,I need it because nothing else solves this problem,Extremely likely,$20 - $30,Extremely positive,Different,Very appealing,Like somewhat,Extremely relevant,I need it because nothing else solves this problem,Extremely likely,$15 - $20,Somewhat positive,Different,Appealing,Like somewhat,Extremely relevant,I need it because nothing else solves this problem,Somewhat likely,$15 - $20,Somewhat positive,Different,A little appealing,Like somewhat,Extremely relevant,I need it because nothing else solves this problem,Extremely likely,$20 - $30,2,PX,ConceptTesting
2022-06-25 11:55:12,2022-06-25 12:08:37,IP Address,76.26.195.37,100,804,True,2022-06-25 12:08:38,R_1IEJvrelrEHCmvO,,,,,32.8445,-79.8242,anonymous,EN,18-24 years old,Working part-time,Female,,Widowed,Somewhat positive,Very different,Very appealing,Like somewhat,Somewhat relevant,I need it because nothing else solves this problem,Extremely likely,$10 - $15,Somewhat positive,Different,Very appealing,Like somewhat,Extremely relevant,I need it because nothing else solves this problem,Extremely likely,$20 - $30,Extremely positive,Different,Appealing,Like somewhat,Extremely relevant,This would be slightly better than what I am currently using,Somewhat likely,$15 - $20,Somewhat positive,Different,Appealing,Like somewhat,Extremely relevant,This would be slightly better than what I am currently using,Extremely likely,$5 - $10,2,PX,ConceptTesting
2022-06-25 11:55:18,2022-06-25 12:10:39,IP Address,98.222.27.85,100,921,True,2022-06-25 12:10:40,R_1Lio4iTRPUIAlOh,,,,,39.7697,-89.6886,anonymous,EN,18-24 years old,Working full-time,Female,,Living with a partner,Extremely positive,Different,Appealing,Like a great deal,Extremely relevant,I need it because nothing else solves this problem,Extremely likely,$15 - $20,Extremely positive,Very different,Very appealing,Like somewhat,Extremely relevant,I need it because nothing else solves this problem,Somewhat likely,$15 - $20,Somewhat positive,Different,Very appealing,Like somewhat,Extremely relevant,This would be slightly better than what I am currently using,Extremely likely,$15 - $20,Somewhat positive,Different,A little appealing,Neither like nor dislike,Somewhat relevant,This would be slightly better than what I am currently using,Somewhat likely,$10 - $15,2,PX,ConceptTesting
2022-06-25 11:55:20,2022-06-25 12:12:31,IP Address,173.49.225.93,100,1031,True,2022-06-25 12:12:32,R_WxkMRDrXgk7Gdhf,,,,,40.185,-75.0041,anonymous,EN,25-34 years old,Working part-time,Female,,Living with a partner,Extremely positive,Different,Very appealing,Like somewhat,Extremely relevant,This would be slightly better than what I am currently using,Somewhat likely,$20 - $30,Extremely positive,Very different,Very appealing,Like somewhat,Extremely relevant,This would be slightly better than what I am currently using,Somewhat likely,$15 - $20,Extremely positive,Very different,Very appealing,Like a great deal,Extremely relevant,This would be slightly better than what I am currently using,Extremely likely,$15 - $20,Somewhat positive,Different,A little appealing,Like somewhat,Somewhat relevant,This would be slightly better than what I am currently using,Somewhat likely,$5 - $10,2,PX,ConceptTesting
2022-06-25 12:10:22,2022-06-25 12:13:25,IP Address,49.36.111.113,100,182,True,2022-06-25 12:13:26,R_CaeuIpZrli73guB,,,,,19.0748,72.8856,anonymous,EN,25-34 years old,Working full-time,Female,,Never been married,Extremely positive,Different,Appealing,Like somewhat,Somewhat relevant,This would be slightly better than what I am currently using,Somewhat likely,$5 - $10,Somewhat positive,A little different,A little appealing,Like somewhat,Extremely relevant,This would be slightly better than what I am currently using,Somewhat likely,$5 - $10,Somewhat positive,Different,Appealing,Like somewhat,Somewhat relevant,This would be slightly better than what I am currently using,Somewhat likely,$5 - $10,Somewhat positive,Different,Appealing,Like somewhat,Somewhat relevant,This would be slightly better than what I am currently using,Somewhat likely,$5 - $10,2,PX,ConceptTesting
2022-06-25 12:07:50,2022-06-25 12:14:37,IP Address,182.77.36.234,100,407,True,2022-06-25 12:14:38,R_1GPtcg2xVNrwtVO,,,,,28.6542,77.2373,anonymous,EN,25-34 years old,Working full-time,Male,,Never been married,Extremely positive,A little different,Appealing,Like a great deal,Somewhat relevant,This would be slightly better than what I am currently using,Somewhat likely,$10 - $15,Extremely positive,Very different,Very appealing,Like somewhat,Somewhat relevant,I need it because nothing else solves this problem,Somewhat likely,$20 - $30,Extremely positive,Different,Very appealing,Like somewhat,Neither relevant nor irrelevant,This would be slightly better than what I am currently using,Somewhat likely,$10 - $15,Extremely positive,Very different,Very appealing,Like a great deal,Somewhat relevant,This would be slightly better than what I am currently using,Somewhat likely,$15 - $20,2,PX,ConceptTesting
2022-06-25 11:55:14,2022-06-25 12:14:44,IP Address,173.239.197.120,100,1169,True,2022-06-25 12:14:45,R_zeX8qN2IE6nzarT,,,,,47.6034,-122.3414,anonymous,EN,25-34 years old,Working full-time,Female,,Living with a partner,Somewhat positive,A little different,A little appealing,Like somewhat,Extremely relevant,This would be slightly better than what I am currently using,Somewhat likely,$20 - $30,Extremely positive,Very different,Very appealing,Like a great deal,Extremely relevant,I need it because nothing else solves this problem,Extremely likely,$30 - $40,Extremely positive,Different,A little appealing,Like a great deal,Extremely relevant,I need it because nothing else solves this problem,Extremely likely,$20 - $30,Somewhat positive,A little different,A little appealing,Neither like nor dislike,Somewhat relevant,This would be slightly better than what I am currently using,Somewhat likely,$20 - $30,2,PX,ConceptTesting
2022-06-25 12:12:16,2022-06-25 12:14:46,IP Address,67.188.2.175,100,150,True,2022-06-25 12:14:47,R_bpFqtowKImBudUt,,,,,37.4371,-121.8954,anonymous,EN,25-34 years old,Working full-time,Male,,Married,Somewhat positive,Different,Very appealing,Like somewhat,Extremely relevant,I need it because nothing else solves this problem,Somewhat likely,$10 - $15,Extremely positive,Very different,Very appealing,Like somewhat,Somewhat relevant,This would be slightly better than what I am currently using,Somewhat likely,$15 - $20,Neither positive nor negative,A little different,A little appealing,Neither like nor dislike,Neither relevant nor irrelevant,This is essentially the same as what I am currently using,Neither likely nor unlikely,$10 - $15,Somewhat positive,Different,Appealing,Like somewhat,Somewhat relevant,This would be slightly better than what I am currently using,Neither likely nor unlikely,$15 - $20,2,PX,ConceptTesting
2022-06-25 11:55:16,2022-06-25 12:17:38,IP Address,94.140.9.33,100,1341,True,2022-06-25 12:17:38,R_T0XghxNWGjQYJX3,,,,,41.8874,-87.6318,anonymous,EN,25-34 years old,Working full-time,Female,,Living with a partner,Extremely positive,Different,Appealing,Like a great deal,Extremely relevant,This would be slightly better than what I am currently using,Somewhat likely,$20 - $30,Extremely positive,Different,A little appealing,Like a great deal,Extremely relevant,I need it because nothing else solves this problem,Extremely likely,$20 - $30,Somewhat positive,Different,A little appealing,Like a great deal,Extremely relevant,This would be slightly better than what I am currently using,Somewhat likely,$30 - $40,Somewhat positive,A little different,A little appealing,Neither like nor dislike,Somewhat relevant,This would be slightly better than what I am currently using,Somewhat likely,$20 - $30,2,PX,ConceptTesting
2022-06-25 12:07:18,2022-06-25 12:21:29,IP Address,131.150.26.47,100,851,True,2022-06-25 12:21:30,R_1Q6rMxX2N46tuz5,,,,,46.5778,-87.4552,anonymous,EN,18-24 years old,Working full-time,Female,,Never been married,Somewhat positive,A little different,A little appealing,Neither like nor dislike,Somewhat relevant,This would be slightly better than what I am currently using,Somewhat likely,$15 - $20,Somewhat positive,A little different,A little appealing,Like somewhat,Somewhat relevant,This would be slightly better than what I am currently using,Somewhat likely,$20 - $30,Neither positive nor negative,A little different,A little appealing,Neither like nor dislike,Neither relevant nor irrelevant,This is essentially the same as what I am currently using,Neither likely nor unlikely,$5 - $10,Somewhat positive,A little different,A little appealing,Neither like nor dislike,Somewhat relevant,What I am currently using is better than this,Somewhat likely,$15 - $20,2,PX,ConceptTesting
2022-06-25 12:19:16,2022-06-25 12:22:39,IP Address,72.211.177.83,100,203,True,2022-06-25 12:22:40,R_2sR9FioZor1WEWi,,,,,33.6262,-112.0074,anonymous,EN,25-34 years old,Working part-time,Female,,Married,Somewhat positive,Different,Appealing,Like somewhat,Somewhat relevant,This would be slightly better than what I am currently using,Somewhat likely,$10 - $15,Extremely positive,Different,Appealing,Like somewhat,Somewhat relevant,This is essentially the same as what I am currently using,Somewhat likely,$10 - $15,Neither positive nor negative,Not very different,A little appealing,Neither like nor dislike,Somewhat irrelevant,I don't see any reason to use this,Extremely unlikely,$10 - $15,Neither positive nor negative,Different,Not very appealing,Dislike somewhat,Somewhat relevant,I don't see any reason to use this,Somewhat unlikely,$15 - $20,2,PX,ConceptTesting
2022-06-25 12:07:22,2022-06-25 12:22:51,IP Address,47.6.16.39,100,928,True,2022-06-25 12:22:51,R_123TBAKV3V6FWWI,,,,,47.1173,-88.5535,anonymous,EN,18-24 years old,Working full-time,Female,,Never been married,Somewhat positive,A little different,A little appealing,Neither like nor dislike,Somewhat relevant,This is essentially the same as what I am currently using,Somewhat unlikely,$15 - $20,Somewhat positive,Very different,Appealing,Like somewhat,Somewhat relevant,This would be slightly better than what I am currently using,Neither likely nor unlikely,$20 - $30,Somewhat positive,A little different,Appealing,Like somewhat,Somewhat relevant,This would be slightly better than what I am currently using,Somewhat likely,$20 - $30,Neither positive nor negative,Different,Appealing,Like somewhat,Somewhat relevant,This is essentially the same as what I am currently using,Somewhat likely,$10 - $15,2,PX,ConceptTesting
2022-06-25 12:05:38,2022-06-25 12:25:49,IP Address,73.18.198.58,100,1210,True,2022-06-25 12:25:49,R_325EeZmpv38wbB8,,,,,42.4261,-83.2514,anonymous,EN,18-24 years old,Working part-time,Male,,Never been married,Somewhat positive,Different,A little appealing,Like somewhat,Somewhat relevant,This would be slightly better than what I am currently using,Extremely likely,$30 - $40,Neither positive nor negative,A little different,A little appealing,Like somewhat,Somewhat relevant,This would be slightly better than what I am currently using,Extremely likely,$15 - $20,Somewhat positive,Different,A little appealing,Like a great deal,Somewhat relevant,This would be slightly better than what I am currently using,Extremely likely,$20 - $30,Somewhat positive,A little different,A little appealing,Neither like nor dislike,Neither relevant nor irrelevant,This would be slightly better than what I am currently using,Somewhat likely,$10 - $15,2,PX,ConceptTesting
2022-06-25 12:07:27,2022-06-25 12:27:21,IP Address,47.224.61.224,100,1194,True,2022-06-25 12:27:21,R_RRMvP1tnBT45DsB,,,,,44.8165,-85.5808,anonymous,EN,25-34 years old,Working full-time,Female,,Married,Somewhat positive,A little different,A little appealing,Like somewhat,Somewhat relevant,This is essentially the same as what I am currently using,Somewhat likely,$15 - $20,Somewhat positive,Different,A little appealing,Like somewhat,Somewhat relevant,This would be slightly better than what I am currently using,Extremely likely,$20 - $30,Somewhat positive,Different,A little appealing,Like a great deal,Somewhat relevant,This would be slightly better than what I am currently using,Somewhat likely,$15 - $20,Somewhat positive,Different,A little appealing,Like somewhat,Somewhat relevant,This would be slightly better than what I am currently using,Extremely likely,$20 - $30,2,PX,ConceptTesting
2022-06-25 12:21:48,2022-06-25 12:27:44,IP Address,49.36.183.70,100,356,True,2022-06-25 12:27:44,R_V2uqxXWhciZzysV,,,,,28.6542,77.2373,anonymous,EN,25-34 years old,Working full-time,Female,,Never been married,Somewhat positive,Very different,A little appealing,Like somewhat,Neither relevant nor irrelevant,I don't see any reason to use this,Somewhat unlikely,$5 - $10,Extremely positive,Not very different,Appealing,Like somewhat,Somewhat relevant,This would be slightly better than what I am currently using,Somewhat likely,$5 - $10,Somewhat positive,Very different,Appealing,Like somewhat,Neither relevant nor irrelevant,This would be slightly better than what I am currently using,Somewhat likely,$10 - $15,Somewhat positive,Very different,A little appealing,Neither like nor dislike,Somewhat irrelevant,I don't see any reason to use this,Somewhat unlikely,$10 - $15,2,PX,ConceptTesting
2022-06-25 12:07:09,2022-06-25 12:27:46,IP Address,68.61.127.144,100,1236,True,2022-06-25 12:27:46,R_SSEz6aVU3Ui8Otj,,,,,42.2967,-85.2066,anonymous,EN,25-34 years old,Working full-time,Male,,Married,Somewhat positive,Different,Appealing,Like a great deal,Somewhat relevant,This would be slightly better than what I am currently using,Somewhat likely,$15 - $20,Somewhat positive,A little different,Appealing,Neither like nor dislike,Somewhat relevant,This would be slightly better than what I am currently using,Somewhat likely,$20 - $30,Somewhat positive,A little different,Appealing,Neither like nor dislike,Somewhat relevant,This would be slightly better than what I am currently using,Somewhat likely,$20 - $30,Neither positive nor negative,A little different,A little appealing,Like somewhat,Somewhat relevant,This would be slightly better than what I am currently using,Somewhat likely,$10 - $15,2,PX,ConceptTesting
2022-06-25 12:27:32,2022-06-25 12:30:21,IP Address,49.206.120.117,100,169,True,2022-06-25 12:30:22,R_1djkxeqxWRWm2eF,,,,,28.6542,77.2373,anonymous,EN,25-34 years old,Working full-time,Prefer not to say,,Never been married,Somewhat positive,Different,Appealing,Like a great deal,Somewhat relevant,This would be slightly better than what I am currently using,Extremely likely,$5 - $10,Somewhat positive,Very different,Appealing,Like somewhat,Extremely relevant,This would be slightly better than what I am currently using,Somewhat likely,$10 - $15,Extremely positive,Very different,Very appealing,Like a great deal,Extremely relevant,This would be slightly better than what I am currently using,Extremely likely,$10 - $15,Somewhat positive,A little different,Appealing,Like somewhat,Somewhat relevant,I need it because nothing else solves this problem,Extremely likely,$10 - $15,2,PX,ConceptTesting
2022-06-25 12:26:56,2022-06-25 12:34:57,IP Address,115.96.26.9,100,481,True,2022-06-25 12:34:58,R_s7NNi2JHcwF0Lbb,,,,,19.0748,72.8856,anonymous,EN,25-34 years old,Working full-time,Female,,Married,Extremely positive,Very different,Very appealing,Like a great deal,Somewhat relevant,I need it because nothing else solves this problem,Somewhat likely,$5 - $10,Extremely positive,A little different,Appealing,Like somewhat,Somewhat relevant,This would be slightly better than what I am currently using,Somewhat likely,$5 - $10,Somewhat positive,Very different,Very appealing,Like somewhat,Somewhat relevant,This would be slightly better than what I am currently using,Somewhat likely,$5 - $10,Extremely positive,A little different,Appealing,Like a great deal,Extremely relevant,This would be slightly better than what I am currently using,Extremely likely,$5 - $10,2,PX,ConceptTesting
2022-06-25 12:32:51,2022-06-25 12:35:27,IP Address,98.145.220.193,100,155,True,2022-06-25 12:35:27,R_PufRF3FzD0BN49X,,,,,32.8483,-115.5776,anonymous,EN,18-24 years old,Student,Female,,Living with a partner,Somewhat positive,A little different,Appealing,Neither like nor dislike,Extremely irrelevant,What I am currently using is better than this,Neither likely nor unlikely,$5 - $10,Somewhat positive,Different,Appealing,Neither like nor dislike,Extremely relevant,I need it because nothing else solves this problem,Somewhat likely,$5 - $10,Extremely positive,Different,Very appealing,Like a great deal,Somewhat relevant,This would be slightly better than what I am currently using,Somewhat likely,$5 - $10,Somewhat positive,Different,A little appealing,Like a great deal,Somewhat relevant,This would be slightly better than what I am currently using,Somewhat likely,$15 - $20,2,PX,ConceptTesting
2022-06-25 12:32:33,2022-06-25 12:38:10,IP Address,157.40.207.104,100,337,True,2022-06-25 12:38:11,R_SZyIWSrjJlWZ5eN,,,,,22.518,88.3832,anonymous,EN,18-24 years old,Student,Female,,Never been married,Extremely positive,Very different,Very appealing,Like a great deal,Extremely relevant,I need it because nothing else solves this problem,Somewhat likely,$30 - $40,Extremely positive,Different,Very appealing,Like a great deal,Somewhat relevant,I need it because nothing else solves this problem,Somewhat likely,$10 - $15,Extremely positive,Different,Very appealing,Like a great deal,Extremely relevant,This would be slightly better than what I am currently using,Extremely likely,$10 - $15,Extremely positive,Different,Very appealing,Like a great deal,Neither relevant nor irrelevant,This would be slightly better than what I am currently using,Extremely likely,$15 - $20,2,PX,ConceptTesting
2022-06-25 12:43:02,2022-06-25 12:45:36,IP Address,153.33.37.33,100,154,True,2022-06-25 12:45:37,R_1LwfNw6XZ8AEFy3,,,,,42.7367,-84.4758,anonymous,EN,18-24 years old,Working full-time,Non-binary / third gender,,Never been married,Extremely positive,Very different,Appealing,Like somewhat,Somewhat relevant,This would be slightly better than what I am currently using,Neither likely nor unlikely,$15 - $20,Extremely positive,Very different,Very appealing,Like somewhat,Somewhat relevant,I need it because nothing else solves this problem,Somewhat likely,$10 - $15,Extremely positive,Very different,Very appealing,Like somewhat,Somewhat relevant,This would be slightly better than what I am currently using,Neither likely nor unlikely,$10 - $15,Somewhat positive,Different,Very appealing,Like somewhat,Neither relevant nor irrelevant,This would be slightly better than what I am currently using,Neither likely nor unlikely,$10 - $15,2,PX,ConceptTesting
2022-06-25 12:19:33,2022-06-25 12:45:45,IP Address,46.36.119.217,100,1571,True,2022-06-25 12:45:45,R_1QKt2oY5i209Sio,,,,,40.1817,44.5099,anonymous,EN,18-24 years old,Working full-time,Male,,Never been married,Somewhat positive,Different,A little appealing,Neither like nor dislike,Somewhat relevant,This would be slightly better than what I am currently using,Somewhat likely,$10 - $15,Somewhat positive,A little different,Appealing,Like somewhat,Somewhat relevant,This would be slightly better than what I am currently using,Neither likely nor unlikely,$10 - $15,Somewhat positive,Different,A little appealing,Like somewhat,Somewhat relevant,This would be slightly better than what I am currently using,Neither likely nor unlikely,$15 - $20,Somewhat positive,A little different,Appealing,Like somewhat,Somewhat relevant,This would be slightly better than what I am currently using,Neither likely nor unlikely,$20 - $30,2,PX,ConceptTesting
2022-06-25 12:36:08,2022-06-25 12:50:32,IP Address,190.225.182.12,100,864,True,2022-06-25 12:50:32,R_3j6ubfEFLBonA5q,,,,,-29.6833,-57.1083,anonymous,EN,Under 18,Student,Female,,Never been married,Extremely positive,A little different,Appealing,Like a great deal,Somewhat relevant,This would be slightly better than what I am currently using,Extremely likely,$10 - $15,Somewhat positive,Not at all different,A little appealing,Like somewhat,Neither relevant nor irrelevant,This would be slightly better than what I am currently using,Somewhat likely,$20 - $30,Neither positive nor negative,Different,A little appealing,Neither like nor dislike,Extremely irrelevant,I don't see any reason to use this,Extremely unlikely,$15 - $20,Somewhat positive,Very different,Appealing,Like somewhat,Somewhat relevant,I don't see any reason to use this,Somewhat likely,$30 - $40,2,PX,ConceptTesting
2022-06-25 12:51:45,2022-06-25 12:54:24,IP Address,103.80.58.203,100,159,True,2022-06-25 12:54:24,R_3L6erjXddkrvrJ6,,,,,19.1963,72.9675,anonymous,EN,25-34 years old,Working full-time,Male,,Never been married,Somewhat positive,Different,Appealing,Like somewhat,Neither relevant nor irrelevant,This would be slightly better than what I am currently using,Somewhat likely,$15 - $20,Somewhat negative,Not very different,Not very appealing,Dislike somewhat,Somewhat irrelevant,What I am currently using is better than this,Somewhat unlikely,$50+,Neither positive nor negative,A little different,Not very appealing,Neither like nor dislike,Neither relevant nor irrelevant,This would be slightly better than what I am currently using,Neither likely nor unlikely,$10 - $15,Somewhat positive,A little different,A little appealing,Neither like nor dislike,Neither relevant nor irrelevant,This would be slightly better than what I am currently using,Somewhat likely,$5 - $10,2,PX,ConceptTesting
2022-06-25 13:20:58,2022-06-25 13:26:08,IP Address,42.106.216.217,100,310,True,2022-06-25 13:26:09,R_3fkGfPlIQZI7baP,,,,,19.0748,72.8856,anonymous,EN,25-34 years old,Working full-time,Female,,Never been married,Extremely positive,Different,A little appealing,Neither like nor dislike,Somewhat relevant,This would be slightly better than what I am currently using,Somewhat likely,$5 - $10,Extremely positive,Different,Very appealing,Like a great deal,Somewhat relevant,I need it because nothing else solves this problem,Somewhat likely,$5 - $10,Extremely positive,Very different,Very appealing,Like a great deal,Somewhat relevant,I need it because nothing else solves this problem,Extremely likely,$15 - $20,Neither positive nor negative,A little different,Appealing,Like somewhat,Neither relevant nor irrelevant,I don't see any reason to use this,Neither likely nor unlikely,$15 - $20,2,PX,ConceptTesting
2022-06-25 13:33:02,2022-06-25 13:36:28,IP Address,172.58.21.124,100,206,True,2022-06-25 13:36:29,R_3jVgRHd6p3KNEfw,,,,,33.4475,-112.0866,anonymous,EN,18-24 years old,Working full-time,Female,,Never been married,Somewhat positive,Not at all different,Appealing,Like somewhat,Somewhat relevant,This would be slightly better than what I am currently using,Somewhat likely,$20 - $30,Somewhat positive,A little different,A little appealing,Like somewhat,Neither relevant nor irrelevant,This would be slightly better than what I am currently using,Somewhat likely,$40 - $50,Somewhat negative,Not at all different,Not very appealing,Dislike somewhat,Neither relevant nor irrelevant,What I am currently using is better than this,Extremely unlikely,$40 - $50,Neither positive nor negative,Very different,Not very appealing,Neither like nor dislike,Somewhat relevant,What I am currently using is better than this,Extremely unlikely,$30 - $40,2,PX,ConceptTesting
2022-06-25 13:47:19,2022-06-25 13:51:27,IP Address,104.50.219.45,100,247,True,2022-06-25 13:51:27,R_qOBVJzH8IP7JTNv,,,,,32.8646,-96.7884,anonymous,EN,25-34 years old,Other,Female,,Married,Extremely positive,Different,A little appealing,Like a great deal,Somewhat relevant,This would be slightly better than what I am currently using,Extremely likely,$15 - $20,Extremely positive,Different,Appealing,Like somewhat,Somewhat relevant,This is essentially the same as what I am currently using,Somewhat likely,$20 - $30,Extremely positive,Very different,Very appealing,Like a great deal,Extremely relevant,This would be slightly better than what I am currently using,Extremely likely,$20 - $30,Extremely positive,Different,Appealing,Like a great deal,Extremely relevant,This would be slightly better than what I am currently using,Extremely likely,$20 - $30,2,PX,ConceptTesting
2022-06-25 14:26:55,2022-06-25 14:30:45,IP Address,49.36.114.0,100,230,True,2022-06-25 14:30:45,R_3JkMvXs7DRuufpI,,,,,19.0748,72.8856,anonymous,EN,25-34 years old,Working full-time,Female,,Never been married,Somewhat positive,Very different,Appealing,Neither like nor dislike,Extremely relevant,This would be slightly better than what I am currently using,Somewhat likely,$10 - $15,Extremely positive,Different,Appealing,Neither like nor dislike,Somewhat relevant,This would be slightly better than what I am currently using,Somewhat likely,$10 - $15,Extremely positive,Different,Very appealing,Like a great deal,Extremely relevant,I need it because nothing else solves this problem,Extremely likely,$15 - $20,Neither positive nor negative,Not very different,A little appealing,Neither like nor dislike,Somewhat relevant,This is essentially the same as what I am currently using,Neither likely nor unlikely,$5 - $10,2,PX,ConceptTesting
